frame,filename,pass_id,t,speed,yaw_rate,sharpness,n_edge,du,dv,du_mad,dv_mad,inlier8,n_edge_other,du_other,dv_other,de_nt,geometry_ok,pass_conflict,motion_ok,sharp_ok,cls,reasons
122,260408_115047966.jpg,0,300713.46372,9.15,1.81,228.7,6978,0.57,1.11,8.38,11.1,0.226,0,nan,nan,6.925000000000001,True,False,True,True,clean,
123,260408_115048510.jpg,0,300714.007921,9.15,1.06,233.9,6786,-0.07,0.78,7.26,11.73,0.249,0,nan,nan,4.9750000000000005,True,False,True,True,clean,
124,260408_115049054.jpg,0,300714.552121,9.17,0.13,245.7,6720,-0.18,0.17,6.46,10.99,0.266,0,nan,nan,5.275,True,False,True,True,clean,
125,260408_115049598.jpg,0,300715.096322,9.18,0.15,271.7,5941,0.38,-1.38,8.6,11.06,0.225,0,nan,nan,4.9750000000000005,True,False,True,True,clean,
126,260408_115050142.jpg,0,300715.640522,9.19,0.3,300.4,5270,0.36,1.9,4.73,11.52,0.261,0,nan,nan,4.325,True,False,True,True,clean,
127,260408_115050687.jpg,0,300716.184723,9.18,0.09,297.1,4869,-0.2,2.06,6.11,10.77,0.29,0,nan,nan,6.075,True,False,True,True,clean,
128,260408_115051231.jpg,0,300716.728924,9.19,0.62,254.1,3101,-0.0,-0.26,7.29,13.73,0.181,0,nan,nan,4.575,True,False,True,True,clean,
129,260408_115051775.jpg,0,300717.273125,9.17,0.37,240.5,3930,-0.76,-0.85,8.24,13.03,0.211,0,nan,nan,7.675000000000001,True,False,True,True,clean,
130,260408_115052319.jpg,0,300717.817325,9.14,0.01,265.6,3558,0.55,-0.66,10.47,9.77,0.214,0,nan,nan,5.875,True,False,True,True,clean,
131,260408_115052863.jpg,0,300718.361526,9.13,0.63,282.8,3626,0.22,3.34,9.67,10.58,0.197,0,nan,nan,4.275,True,False,True,True,clean,
132,260408_115053407.jpg,0,300718.905727,9.1,0.55,266.8,4157,-0.32,-0.11,8.22,11.67,0.221,0,nan,nan,4.4750000000000005,True,False,True,True,clean,
133,260408_115053951.jpg,0,300719.449927,9.07,0.28,258.1,4187,0.1,3.04,7.14,11.95,0.157,0,nan,nan,4.325,True,False,True,True,clean,
134,260408_115054495.jpg,0,300719.994128,9.03,0.65,249.8,3842,0.14,0.25,9.19,14.23,0.117,0,nan,nan,5.4750000000000005,True,False,True,True,clean,
135,260408_115055039.jpg,0,300720.538329,8.99,0.64,235.5,4558,1.71,-8.0,10.77,13.59,0.115,0,nan,nan,5.375,False,False,True,True,reject,geometry
136,260408_115055594.jpg,0,300721.092629,8.98,0.14,232.9,3867,-0.02,-1.43,8.77,12.94,0.145,0,nan,nan,6.4750000000000005,True,False,True,True,clean,
137,260408_115056148.jpg,0,300721.64693,8.98,0.69,234.8,3652,-0.1,-0.56,8.35,15.4,0.138,0,nan,nan,4.625,True,False,True,True,clean,
138,260408_115056702.jpg,0,300722.201231,8.97,0.57,223.9,2916,-0.14,1.81,11.42,11.94,0.139,0,nan,nan,4.375,True,False,True,True,clean,
139,260408_115057256.jpg,0,300722.755531,8.98,0.1,214.0,1129,-0.22,2.04,8.72,16.4,0.073,0,nan,nan,4.125,False,False,True,True,reject,geometry
140,260408_115057811.jpg,0,300723.309832,8.99,0.48,211.2,1440,0.11,0.03,10.62,7.38,0.168,0,nan,nan,4.2250000000000005,True,False,True,True,clean,
141,260408_115058365.jpg,0,300723.864133,9.01,0.15,205.8,555,0.47,-5.12,12.32,18.51,0.08,0,nan,nan,5.2250000000000005,False,False,True,True,reject,geometry
142,260408_115058919.jpg,0,300724.418433,9.03,0.6,202.2,305,-1.92,-1.04,10.53,18.73,0.045,0,nan,nan,5.2250000000000005,False,False,True,True,reject,geometry
143,260408_115059473.jpg,0,300724.972734,9.05,0.39,197.9,560,0.23,-0.13,9.71,14.13,0.166,0,nan,nan,4.075,True,False,True,True,clean,
144,260408_115100027.jpg,0,300725.527035,9.08,0.51,190.4,690,-1.98,0.5,11.18,12.61,0.173,0,nan,nan,3.725,True,False,True,True,clean,
145,260408_115100582.jpg,0,300726.081335,9.11,0.99,191.7,889,-0.64,-2.43,7.83,12.36,0.2,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
146,260408_115101136.jpg,0,300726.635636,9.13,0.67,181.0,1222,2.25,3.92,11.97,12.09,0.146,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
147,260408_115101680.jpg,0,300727.179737,9.17,0.43,181.1,1079,2.09,-1.64,10.34,14.08,0.136,0,nan,nan,3.4250000000000003,True,False,True,True,clean,
148,260408_115102224.jpg,0,300727.723837,9.19,0.95,181.4,951,-1.1,-0.48,8.66,11.98,0.205,0,nan,nan,3.825,True,False,True,True,clean,
